"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Follower Views","Non-follower Views","Reach","Organic Reach","Viral Reach","Non-viral Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagement Rate (per Reach)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Post Shares","Reposts","Quotes","Saves","Click-Through Rate","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Post Media Clicks","Post Hashtag Clicks","Post Detail Expand Clicks","Profile Clicks","Other Engagements","Answers","App Engagements","App Install Attempts","App Opens","Follows from Post","Unfollows from Post","bit.ly Link Clicks","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Media Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Organic Full Video Views","Paid Full Video Views","Autoplay Video Views","Click to Play Video Views","Sound on Video Views","Sound off Video Views","Autoplay Partial Video Views","Click to Play Partial Video Views","Autoplay Full Video Views","Click to Play Full Video Views","95% Video Views","Organic 95% Video Views","Paid 95% Video Views","Video Length (Seconds)","Average Video Time Watched (Seconds)","Video View Time (Seconds)","Organic Video View Time (Seconds)","Paid Video View Time (Seconds)","Unique Video Views","Average Unique Video Views per Post","Unique Organic Video Views","Unique Paid Video Views","Unique Full Video Views","Unique Organic 95% Video Views","Unique Paid 95% Video Views","Video Ad Break Ad Impressions","Video Ad Break Ad Earnings","Video Ad Break Ad Cost per Impression (CPM)","YouTube Premium Views","Estimated Minutes Watched","Estimated Premium Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Annotation Impressions","Annotation Clickable Impressions","Annotation Closable Impressions","Annotation Closes","Card Impressions","Card Teaser Impressions","Card Teaser Clicks","Poll Votes","Tags"
"12/30/2025 9:40 am","18068922089569359","Instagram","Reel","Video","flyont","Sabine West","https://www.instagram.com/reel/DS5XQIojus6/","UPDATE: Giveaway has closed and winners have been selected.

______________________

Giving away 10 PR BOXES for 10 Years of Local Control here at ONT!!! ✈️

To celebrate our first decade of local control, we’re giving away ONT promo boxes as a thank you to our travelers and community. 🫶

Here's how to enter:
⭐️1st - Follow us on Insta @flyONT
⭐️ 2nd - Tag at least one friend in the comments
(One entry per person.)

We will randomly select winners on Jan. 5, 2026!",,"11,337","11,337","","","","5,427","5,427","","","","","16.1%","33.92%","1,825","694","694","","","","","","","1,064","61","45","16","","22","","","","","","","","","","","","","","","","","","","","","11,337","","11,337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","December DLC Report"
"12/15/2025 11:25 am","7406414023027515392","LinkedIn","Post","Photo","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:ugcPost:7406414023027515392","This weekend our Community Engagement team was at the City of Ontario 5K Reindeer Run & Rudolph's Dash! 🏃‍♀️🎄🩷

We offered free coffee and photos with our So Cal Santa. This also marked our first Community Pop-Up event as part of our year-long Decade of Control celebration. Thanks to everyone who came out!

🔗 Keep an eye out for our next anniversary event in the community and in our terminals: https://lnkd.in/ghZwK5J9",,"1,705","1,705","","","","","","","","","","39.59%","","675","85","85","","","","","","","2","4","4","","","","34.25%","584","","","584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5K - 2026, 5K at the Runway, December DLC Report"
"12/12/2025 8:51 am","18072811046362729","Instagram","Reel","Video","flyont","Sabine West","https://www.instagram.com/reel/DSK7YgsEcnH/","This weekend, we will be at the @cityofontario 5K Reindeer Run! Come celebrate our Decade of Local Control with us. ✈️🎄

Free coffee & snap a photo with So Cal Santa for the first 300 people who answer a few questions! ☕️🎅

Event Details:
📍 At the intersection of Euclid Avenue and C Street
📅 Saturday, December 13th
⏰ 7 to 11 a.m.",,"5,826","5,826","","","","3,808","3,808","","","","","3.86%","5.96%","225","188","188","","","","","","","25","10","8","2","","4","","","","","","","","","","","","","","","","","","","","","5,826","","5,826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","December DLC Report"
"12/12/2025 8:51 am","170932926338208_1276629304510495","Facebook","Reel","Video","Ontario International Airport","Sabine West","https://www.facebook.com/reel/2076134883188518/","This weekend, we will be at the City of Ontario, California - Government  5K Reindeer Run! Come celebrate our Decade of Local Control with us. ✈️🎄

Free coffee & snap a photo with So Cal Santa for the first 300 people who answer a few questions! ☕️🎅
Event Details:
📍 At the intersection of Euclid Avenue and C Street
📅 Saturday, December 13th
⏰ 7 to 11 a.m.","https://www.facebook.com/reel/2076134883188518/","3,244","3,243","0","1,640","1,580","2,421","","","","","","1.54%","2.07%","50","46","38","","5","3","0","0","0","3","1","1","","","","","","","","0","","","","","","","","","","","","","","","","1,260","","1,260","0","838","838","0","422","","","","","","","","","","422","0","1,246","14","533","","833","","413","9","422","422","0","12","6.14","15,293.1","15,293.1","","1,203","1,203","1,203","0","404","404","0","","","","","","","","","","","","","","","","","","","","","","December DLC Report"
"12/12/2025 8:51 am","7405288113742241792","LinkedIn","Post","Video","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:ugcPost:7405288113742241792","This weekend, we will be at the City of Ontario 5K Reindeer Run! Come celebrate our Decade of Local Control with us. ✈️🎄


Free coffee & snap a photo with So Cal Santa for the first 300 people who answer a few questions! ☕️🎅

Event Details:
📍 At the intersection of Euclid Avenue and C Street
📅 Saturday, December 13th
⏰ 7 to 11 a.m.",,"1,662","1,662","","","","","","","","","","8.3%","","138","52","52","","","","","","","0","1","1","","","","5.11%","85","","","85","","","","","","","","","","","","","","","","713","","713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5K - 2026, 5K at the Runway, December DLC Report"
"12/12/2025 7:05 am","ylrtJbfBrEs","YouTube","Post","Video","FlyONT - Ontario International Airport","Sabine West","https://www.youtube.com/watch?v=ylrtJbfBrEs","This weekend, we will be at the City of Ontario's 5K Reindeer Run & Rudolph's Dash! Come celebrate our Decade of Local Control with us. ✈️🎄

Free coffee & snap a photo with So Cal Santa for the first 300 people who answer a few questions! ☕️🎅

Event Details:
📍 At the intersection of Euclid Avenue and C Street
📅 Saturday, December 13th
⏰ 7 to 11 a.m.",,"","","","","","","","","","","","","","20","19","18","1","","","","","","0","0","0","","","","","","","0","","","","","","1","","","","","","","","1","0","0","1,587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","123","16","","","","","0","1","0","0","0","0","0","0","0","0","","December DLC Report"
"12/12/2025 7:05 am","7582987424800820493","TikTok","Post","Video","'@flyontairport","Sabine West","https://www.tiktok.com/@flyontairport/video/7582987424800820493?utm_campaign=tt4d_open_api&utm_source=7036369194396418050","This weekend, we will be at the City of Ontario's 5K Reindeer Run & Rudolph's Dash! Come celebrate our Decade of Local Control with us. ✈️🎄 Free coffee & snap a photo with So Cal Santa for the first 300 people who answer a few questions! ☕️🎅 Event Details: 📍 At the intersection of Euclid Avenue and C Street 📅 Saturday, December 13th ⏰ 7 to 11 a.m.",,"912","","","","","799","","","","","","5.15%","5.88%","47","46","46","","","","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","912","","","","","","","","0.1","40","567","","218","10","75","0","2","","","","","","","","","","","","","","11.2","5.2","4,870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","December DLC Report"
"11/21/2025 11:16 am","170932926338208_1260818089424950","Facebook","Reel","Video","Ontario International Airport","Sabine West","https://www.facebook.com/reel/736557236139248/","This month we kicked off our Decade of Local Control campaign... ✈️🩷

HUGE thanks to all of the people who helped us gain local control of ONT almost 10 years ago!!!

We'll be thanking our supporters all year long. Click the link for a look at upcoming events and other ways to join the celebration: https://ontmktg.info/10yr","https://www.facebook.com/reel/736557236139248/","2,384","2,382","0","1,276","1,102","2,202","","","","","","2.14%","2.32%","51","47","42","","5","0","0","0","0","4","0","0","","","","","","","","0","","","","","","","","","","","","","","","","800","","800","0","590","590","0","210","","","","","","","","","","210","0","793","7","363","","588","","205","5","210","210","0","19","6.11","11,889.94","11,889.94","","788","788","788","0","204","204","0","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/21/2025 11:15 am","7397714276687364097","LinkedIn","Post","Video","Ontario International Airport","Sabine West","https://linkedin.com/feed/update/urn:li:ugcPost:7397714276687364097","This month we kicked off our Decade of Local Control campaign... ✈️🩷

HUGE thanks to all of the people who helped us gain local control of ONT almost 10 years ago!!!

We'll be thanking our supporters all year long. Click the link for a look at upcoming events and other ways to join the celebration: https://ontmktg.info/10yr",,"686","686","","","","","","","","","","7.58%","","52","18","18","","","","","","","0","1","1","","","","4.81%","33","","","33","","","","","","","","","","","","","","","","239","","239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
"11/21/2025 11:07 am","18086993290948569","Instagram","Reel","Video","flyont","Sabine West","https://www.instagram.com/reel/DRVGQnPEmX0/","This month we kicked off our Decade of Local Control campaign... ✈️🩷

HUGE thanks to all of the people who helped us gain local control of ONT almost 10 years ago!!!

We'll be thanking our supporters all year long. Click the Decade of Local Control link in our bio for a look at upcoming events and other ways to join the celebration! #ONT10",,"3,405","3,405","","","","2,141","2,141","","","","","3.41%","5.42%","116","100","100","","","","","","","12","2","2","0","","2","","","","","","","","","","","","","","","","","","","","","3,405","","3,405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DLC November"
