"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Profile Actions","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-01-2025","X","'@flyONT","6,369","1","1","1","1","7","17","0","5","29.41%","1","2","0","0","","2","0","","0","0","1","0","","","","","","","","","0","","","","","","","","","","","","","3","0","0","0","4","","","","","0","","0","","","","","","","",""
"01-01-2025","Facebook","Ontario International Airport","25,929","3","","1","1","2","19,773","288","79","0.4%","34","6","2","0","","37","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","1","0","0","0","","0","","","","","","","",""
"01-01-2025","Instagram","flyont","13,257","3","17","5","1","9","20,871","11,658","491","2.35%","445","9","25","","12","","","","","","","","","","","","","0","0","1","4","0","","","","","","","","","","","","","","","","","","","","","4","0","4","0","","","","","0","0",""
"01-01-2025","LinkedIn","Ontario International Airport","5,940","1","1","1","1","1","643","175","82","12.75%","37","0","0","45","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-01-2025","TikTok","'@flyontairport","3,386","2","","2","1","2","1,840","1,840","44","2.39%","40","2","2","","","","","","","","","","","","","","","","","","0","","","","","","","","1","1","","","","","","","","","","","","","0","","0","","","","","","","","2"
"01-01-2025","YouTube","FlyONT - Ontario International Airport","1,090","-1","0","2","1","0","","239","8","","7","0","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"01-02-2025","X","'@flyONT","6,367","-2","0","0","0","5","12","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","1","0","0","2","","","","","0","","0","","","","","","","",""
"01-02-2025","Facebook","Ontario International Airport","25,928","-1","","2","1","5","21,069","217","41","0.19%","25","6","0","0","","10","","0","","","","","1","0","1","0","0","","","","0","","","","","","","","","","","","","","","","","","0","5","0","0","0","","0","","","","","","","",""
"01-02-2025","Instagram","flyont","13,257","0","13","5","2","5","21,901","11,585","463","2.11%","412","3","37","","10","","","","","","","","","","","","","0","1","1","2","0","","","","","","","","","","","","","","","","","","","","","2","0","0","2","","","","","1","1",""
"01-02-2025","LinkedIn","Ontario International Airport","5,942","3","3","1","1","1","928","270","91","9.81%","30","0","1","60","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-02-2025","TikTok","'@flyontairport","3,388","2","","1","1","0","2,543","2,543","59","2.32%","54","1","4","","","","","","","","","","","","","","","","","","0","","","","","","","","1","0","","","","","","","","","","","","","0","","0","","","","","","","","0"
"01-02-2025","YouTube","FlyONT - Ontario International Airport","1,090","0","1","2","1","0","","1,374","31","","28","1","1","","","0","1","","","","","","","","","","","","","","0","","","","","","","","","","","","1","","","","","","","","","","0","","0","","","","","","","",""
"01-03-2025","X","'@flyONT","6,370","3","3","0","0","3","33","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","1","0","0","2","","","","","0","","0","","","","","","","",""
"01-03-2025","Facebook","Ontario International Airport","25,933","5","","1","1","1","21,242","447","41","0.19%","23","0","1","0","","17","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","0","0","0","0","","0","","","","","","","",""
"01-03-2025","Instagram","flyont","13,264","7","16","6","3","11","21,950","13,896","526","2.4%","463","6","40","","15","","","","","","","","","","","","","0","2","1","2","0","","","","","","","","","","","","","","","","","","","","","3","0","3","0","","","","","1","3",""
