year,month_num,month,date,airline_raw,airline,passengers,source_sheet
2021,1,Jan,2021-01-01,Alaska Airlines,Alaska Airlines,12108,2021
2021,2,Feb,2021-02-01,Alaska Airlines,Alaska Airlines,13948,2021
2021,3,Mar,2021-03-01,Alaska Airlines,Alaska Airlines,21810,2021
2021,4,Apr,2021-04-01,Alaska Airlines,Alaska Airlines,29918,2021
2021,5,May,2021-05-01,Alaska Airlines,Alaska Airlines,36081,2021
2021,6,Jun,2021-06-01,Alaska Airlines,Alaska Airlines,43710,2021
2021,7,Jul,2021-07-01,Alaska Airlines,Alaska Airlines,38171,2021
2021,8,Aug,2021-08-01,Alaska Airlines,Alaska Airlines,45034,2021
2021,9,Sep,2021-09-01,Alaska Airlines,Alaska Airlines,37403,2021
2021,10,Oct,2021-10-01,Alaska Airlines,Alaska Airlines,44539,2021
2021,11,Nov,2021-11-01,Alaska Airlines,Alaska Airlines,41870,2021
2021,12,Dec,2021-12-01,Alaska Airlines,Alaska Airlines,39016,2021
2021,1,Jan,2021-01-01,American Airlines,American Airlines,35887,2021
2021,2,Feb,2021-02-01,American Airlines,American Airlines,31374,2021
2021,3,Mar,2021-03-01,American Airlines,American Airlines,54337,2021
2021,4,Apr,2021-04-01,American Airlines,American Airlines,60437,2021
2021,5,May,2021-05-01,American Airlines,American Airlines,74239,2021
2021,6,Jun,2021-06-01,American Airlines,American Airlines,93726,2021
2021,7,Jul,2021-07-01,American Airlines,American Airlines,98753,2021
2021,8,Aug,2021-08-01,American Airlines,American Airlines,89982,2021
2021,9,Sep,2021-09-01,American Airlines,American Airlines,85199,2021
2021,10,Oct,2021-10-01,American Airlines,American Airlines,95429,2021
2021,11,Nov,2021-11-01,American Airlines,American Airlines,88360,2021
2021,12,Dec,2021-12-01,American Airlines,American Airlines,78393,2021
2021,1,Jan,2021-01-01,China Airlines,China Airlines,,2021
2021,2,Feb,2021-02-01,China Airlines,China Airlines,,2021
2021,3,Mar,2021-03-01,China Airlines,China Airlines,,2021
2021,4,Apr,2021-04-01,China Airlines,China Airlines,,2021
2021,5,May,2021-05-01,China Airlines,China Airlines,,2021
2021,6,Jun,2021-06-01,China Airlines,China Airlines,327,2021
2021,7,Jul,2021-07-01,China Airlines,China Airlines,427,2021
2021,8,Aug,2021-08-01,China Airlines,China Airlines,387,2021
2021,9,Sep,2021-09-01,China Airlines,China Airlines,216,2021
2021,10,Oct,2021-10-01,China Airlines,China Airlines,236,2021
2021,11,Nov,2021-11-01,China Airlines,China Airlines,244,2021
2021,12,Dec,2021-12-01,China Airlines,China Airlines,277,2021
2021,1,Jan,2021-01-01,Delta Air Lines,Delta Air Lines,20597,2021
2021,2,Feb,2021-02-01,Delta Air Lines,Delta Air Lines,20453,2021
2021,3,Mar,2021-03-01,Delta Air Lines,Delta Air Lines,30360,2021
2021,4,Apr,2021-04-01,Delta Air Lines,Delta Air Lines,35425,2021
2021,5,May,2021-05-01,Delta Air Lines,Delta Air Lines,50604,2021
2021,6,Jun,2021-06-01,Delta Air Lines,Delta Air Lines,53330,2021
2021,7,Jul,2021-07-01,Delta Air Lines,Delta Air Lines,59398,2021
2021,8,Aug,2021-08-01,Delta Air Lines,Delta Air Lines,59211,2021
2021,9,Sep,2021-09-01,Delta Air Lines,Delta Air Lines,51490,2021
2021,10,Oct,2021-10-01,Delta Air Lines,Delta Air Lines,58910,2021
2021,11,Nov,2021-11-01,Delta Air Lines,Delta Air Lines,52053,2021
2021,12,Dec,2021-12-01,Delta Air Lines,Delta Air Lines,50192,2021
2021,1,Jan,2021-01-01,Frontier Airlines,Frontier Airlines,2654,2021
2021,2,Feb,2021-02-01,Frontier Airlines,Frontier Airlines,6708,2021
2021,3,Mar,2021-03-01,Frontier Airlines,Frontier Airlines,21489,2021
2021,4,Apr,2021-04-01,Frontier Airlines,Frontier Airlines,19143,2021
2021,5,May,2021-05-01,Frontier Airlines,Frontier Airlines,26700,2021
2021,6,Jun,2021-06-01,Frontier Airlines,Frontier Airlines,44019,2021
2021,7,Jul,2021-07-01,Frontier Airlines,Frontier Airlines,58302,2021
2021,8,Aug,2021-08-01,Frontier Airlines,Frontier Airlines,58881,2021
2021,9,Sep,2021-09-01,Frontier Airlines,Frontier Airlines,51679,2021
2021,10,Oct,2021-10-01,Frontier Airlines,Frontier Airlines,53822,2021
2021,11,Nov,2021-11-01,Frontier Airlines,Frontier Airlines,44959,2021
2021,12,Dec,2021-12-01,Frontier Airlines,Frontier Airlines,53785,2021
2021,1,Jan,2021-01-01,JetBlue,JetBlue,,2021
2021,2,Feb,2021-02-01,JetBlue,JetBlue,,2021
2021,3,Mar,2021-03-01,JetBlue,JetBlue,,2021
2021,4,Apr,2021-04-01,JetBlue,JetBlue,,2021
2021,5,May,2021-05-01,JetBlue,JetBlue,,2021
2021,6,Jun,2021-06-01,JetBlue,JetBlue,4437,2021
2021,7,Jul,2021-07-01,JetBlue,JetBlue,6502,2021
2021,8,Aug,2021-08-01,JetBlue,JetBlue,5718,2021
2021,9,Sep,2021-09-01,JetBlue,JetBlue,4583,2021
2021,10,Oct,2021-10-01,JetBlue,JetBlue,6062,2021
2021,11,Nov,2021-11-01,JetBlue,JetBlue,7912,2021
2021,12,Dec,2021-12-01,JetBlue,JetBlue,9201,2021
2021,1,Jan,2021-01-01,Southwest Airlines Co,Southwest Airlines,62364,2021
2021,2,Feb,2021-02-01,Southwest Airlines Co,Southwest Airlines,66732,2021
2021,3,Mar,2021-03-01,Southwest Airlines Co,Southwest Airlines,110336,2021
2021,4,Apr,2021-04-01,Southwest Airlines Co,Southwest Airlines,127376,2021
2021,5,May,2021-05-01,Southwest Airlines Co,Southwest Airlines,143135,2021
2021,6,Jun,2021-06-01,Southwest Airlines Co,Southwest Airlines,149988,2021
2021,7,Jul,2021-07-01,Southwest Airlines Co,Southwest Airlines,163944,2021
2021,8,Aug,2021-08-01,Southwest Airlines Co,Southwest Airlines,150774,2021
2021,9,Sep,2021-09-01,Southwest Airlines Co,Southwest Airlines,167139,2021
2021,10,Oct,2021-10-01,Southwest Airlines Co,Southwest Airlines,184118,2021
2021,11,Nov,2021-11-01,Southwest Airlines Co,Southwest Airlines,185100,2021
2021,12,Dec,2021-12-01,Southwest Airlines Co,Southwest Airlines,176522,2021
2021,1,Jan,2021-01-01,United Air Lines Inc,United Airlines,11775,2021
2021,2,Feb,2021-02-01,United Air Lines Inc,United Airlines,10995,2021
2021,3,Mar,2021-03-01,United Air Lines Inc,United Airlines,15498,2021
2021,4,Apr,2021-04-01,United Air Lines Inc,United Airlines,17223,2021
2021,5,May,2021-05-01,United Air Lines Inc,United Airlines,17398,2021
2021,6,Jun,2021-06-01,United Air Lines Inc,United Airlines,19646,2021
2021,7,Jul,2021-07-01,United Air Lines Inc,United Airlines,26206,2021
2021,8,Aug,2021-08-01,United Air Lines Inc,United Airlines,33721,2021
2021,9,Sep,2021-09-01,United Air Lines Inc,United Airlines,35329,2021
2021,10,Oct,2021-10-01,United Air Lines Inc,United Airlines,30068,2021
2021,11,Nov,2021-11-01,United Air Lines Inc,United Airlines,32062,2021
2021,12,Dec,2021-12-01,United Air Lines Inc,United Airlines,33184,2021
2021,1,Jan,2021-01-01,Volaris,Volaris,6475,2021
2021,2,Feb,2021-02-01,Volaris,Volaris,2021,2021
2021,3,Mar,2021-03-01,Volaris,Volaris,2654,2021
2021,4,Apr,2021-04-01,Volaris,Volaris,3598,2021
2021,5,May,2021-05-01,Volaris,Volaris,11289,2021
2021,6,Jun,2021-06-01,Volaris,Volaris,11324,2021
2021,7,Jul,2021-07-01,Volaris,Volaris,12489,2021
